"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:26:28,FALSE,NA,"1039324263180713984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cinderHeerella",12001,TRUE,FALSE,NA,NA
"2","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:26:22,FALSE,NA,"1039324235850633216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alyaputrudeway1",9729,TRUE,FALSE,NA,NA
"3","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:26:22,FALSE,NA,"1039324235385040896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desi_rikaana",9729,TRUE,FALSE,NA,NA
"4","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:26:13,FALSE,NA,"1039324201444728832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drumhosh99",9729,TRUE,FALSE,NA,NA
"5","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:26:12,FALSE,NA,"1039324196331970560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","E0NIBUGI",9729,TRUE,FALSE,NA,NA
"6","RT @cheoleopseo: Fenomena komentar ciwi-ciwi di instagram setelah viralnya adegan jojo buka kaos di #AsianGames2018 diangkat komika Kiky #S…",FALSE,0,NA,2018-09-11 01:26:11,FALSE,NA,"1039324189285539841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lestariatmojo",7,TRUE,FALSE,NA,NA
"7","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:26:08,FALSE,NA,"1039324176668999685",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pynodh",12001,TRUE,FALSE,NA,NA
"8","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:26:04,FALSE,NA,"1039324160697102336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PKSLiberal",12001,TRUE,FALSE,NA,NA
"9","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:58,FALSE,NA,"1039324137100009472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adeslvpr_",9729,TRUE,FALSE,NA,NA
"10","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:56,FALSE,NA,"1039324127725678592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmefiraa",9729,TRUE,FALSE,NA,NA
"11","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:53,FALSE,NA,"1039324114379403264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZakaRamdan",9729,TRUE,FALSE,NA,NA
"12","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:45,FALSE,NA,"1039324082175533056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","l_automnebreeze",9729,TRUE,FALSE,NA,NA
"13","Federasi sepakbola Kazakhstan baru pulang #asiangames2018 langsung persiapan #NationsLeague 👏🏻👏🏻👏🏻 https://t.co/SRG5i5KnUT",FALSE,0,NA,2018-09-11 01:25:39,FALSE,NA,"1039324056292536320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riadyudi",0,FALSE,FALSE,NA,NA
"14","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:38,FALSE,NA,"1039324054098862081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","umbibatang",9729,TRUE,FALSE,NA,NA
"15","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:25:34,FALSE,NA,"1039324037015453697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","putricyanti",12001,TRUE,FALSE,NA,NA
"16","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:25:25,FALSE,NA,"1039323996750135296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meyouher1424",12001,TRUE,FALSE,NA,NA
"17","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:25:24,FALSE,NA,"1039323992249782272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","balqeeshyuk",12001,TRUE,FALSE,NA,NA
"18","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:21,FALSE,NA,"1039323980979613696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeHandaphone",9729,TRUE,FALSE,NA,NA
"19","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:09,FALSE,NA,"1039323931126026242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RaniYunitaaa",9729,TRUE,FALSE,NA,NA
"20","RT @JagoHindu22: भारत ही है देश मेरा, भारत ही है धर्म

धरती पर मैं जब भी आऊँ, यही दे ईश्वर जन्म।

""विनेश फोगोट""

💪दे पटक ......दे पटक .....…",FALSE,0,NA,2018-09-11 01:25:07,FALSE,NA,"1039323923622633472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JagoHindu22",4,TRUE,FALSE,NA,NA
"21","RT @theKFA: 덮승우에 한 표...⭐️
#이승우 #LEESeungwoo #Selfie
#이제는_챔피언 #AsianGames2018 #대한민국 https://t.co/bg5WyRTAMO",FALSE,0,NA,2018-09-11 01:25:06,FALSE,NA,"1039323918220185600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shirodaba",998,TRUE,FALSE,NA,NA
"22","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:06,FALSE,NA,"1039323918023053312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","misookim06",9729,TRUE,FALSE,NA,NA
"23","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:25:04,FALSE,NA,"1039323909806469121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crazy_gurll_",9729,TRUE,FALSE,NA,NA
"24","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:25:04,FALSE,NA,"1039323908049002496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cheolized",12001,TRUE,FALSE,NA,NA
"25","RT @JagoHindu22: एशियन गेम्स में भारत ....

3 स्वर्ण
3कास्य
3रजत

पदक जीतकर छठे स्थान पर है, जबकि सूअर पाकिस्तान का top-20 में कोई स्थान न…",FALSE,0,NA,2018-09-11 01:25:00,FALSE,NA,"1039323894379945984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JagoHindu22",3,TRUE,FALSE,NA,NA
"26","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:58,FALSE,NA,"1039323884091146240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awakenedbyJae",9729,TRUE,FALSE,NA,NA
"27","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:55,FALSE,NA,"1039323874238685185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fangkao_rin",9729,TRUE,FALSE,NA,NA
"28","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:24:55,FALSE,NA,"1039323870161907712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","windanions",12001,TRUE,FALSE,NA,NA
"29","RT @dgurjarofficial: Congratulations @bajrangpunia , Nation is looking proudly at you   for the first Gold at Asiangames.
Keep evolving and…",FALSE,0,NA,2018-09-11 01:24:52,FALSE,NA,"1039323859160186881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",17,TRUE,FALSE,NA,NA
"30","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:47,FALSE,NA,"1039323839526653953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kkabbaekk",9729,TRUE,FALSE,NA,NA
"31","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:43,FALSE,NA,"1039323820622901248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eryykaaaash",9729,TRUE,FALSE,NA,NA
"32","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:34,FALSE,NA,"1039323783843045381",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","183cmhyuck",9729,TRUE,FALSE,NA,NA
"33","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:29,FALSE,NA,"1039323764784226304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jara_ar",9729,TRUE,FALSE,NA,NA
"34","RT @dgurjarofficial: Medals in row!!!
Congratulations #Deepakkumar for shooting the silver medal at the #AsianGames2018 in the Men’s 10 M A…",FALSE,0,NA,2018-09-11 01:24:29,FALSE,NA,"1039323763307761665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",21,TRUE,FALSE,NA,NA
"35","RT @dgurjarofficial: ट्रैप शूटिंग में रजत पदक जीतने पर #Lakshay Sheoran को हार्दिक बधाई। आपने पूरे देश का सर गर्व से ऊंचा किया है। #AsianGa…",FALSE,0,NA,2018-09-11 01:24:25,FALSE,NA,"1039323746920673280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",30,TRUE,FALSE,NA,NA
"36","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:24:24,FALSE,NA,"1039323743632408582",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RiverronE",12001,TRUE,FALSE,NA,NA
"37","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:19,FALSE,NA,"1039323722115473408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indahhwidyaa",9729,TRUE,FALSE,NA,NA
"38","RT @dgurjarofficial: .@Phogat_Vinesh द्वारा 50 किलोग्राम की श्रेणी की फ्रीस्टाइल कुश्ती में देश को दूसरा #Gold मेडल  दिलाने के लिए बधाई! 💐…",FALSE,0,NA,2018-09-11 01:24:18,FALSE,NA,"1039323716100882432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",21,TRUE,FALSE,NA,NA
"39","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:24:08,FALSE,NA,"1039323675449733120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ceyrasafa",12001,TRUE,FALSE,NA,NA
